SNR,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,L_11,L_12,L_13,L_14,L_15
SNR=30,1.57228443003715,2.62274827278229,3.66449409798217,3.82071076778435,4.36439861650974,4.75896998595862,5.01822291630872,5.21882378147844,5.8116225634923,5.78872316837924,5.78342987294442,5.63296417557221,6.03244113564184
SNR=27,2.17469390366923,3.33852173291154,4.07659490990127,4.89859822764103,5.43988397504695,5.60816581874009,6.00603360573803,6.35511847179485,6.36687595479278,6.55598824123373,6.8065458780602,7.10688069598812,7.10414404001485
SNR=24,3.36330263749664,4.39726413835589,4.86864999791155,5.67243935258237,6.18470568828251,6.78063796718403,7.41237388930239,7.59506436926531,7.24937246786491,7.68610737743925,8.0844316977532,8.16997383907905,8.18866541762957
SNR=21,4.04324564309362,5.69696508353617,6.06394692647666,6.86317920789827,7.594688630742,7.78274381335698,8.48036551437432,8.76899824473599,8.82144938507976,9.23703503906619,9.56573702878087,9.52109504271827,10.4453115179638
SNR=18,5.45075196212728,6.96481634363591,7.96423795904352,8.6993588301724,8.82472658192701,10.129934300147,10.3681293368686,10.514350869951,11.1382363324397,11.335674751182,11.7065938149151,12.0508448855083,12.1408318407085
SNR=15,7.11487962616548,8.66323081966295,9.73639692274046,10.8688944999974,11.3148114913219,12.2349895142366,12.7348677006486,13.3298506396284,13.9886815900108,14.0904777182343,15.4509570715695,16.3400180399197,18.4721797727003
SNR=12,10.4039515801801,12.7619775481073,12.9984516909171,14.5938531964486,15.4838218994774,18.2746297609145,17.6718647295632,18.8143017823867,19.7375085374668,24.800585695804,24.7301636769579,26.7655450312032,31.919340925342
SNR=9,15.7611039145454,26.0248355941354,23.8267678387382,27.9883974136707,34.3560414865988,41.6887727932506,45.2978359757519,46.2287915768653,49.2845738770897,49.8300712581222,53.1790110261908,50.1768620951262,53.3877581884941
SNR=6,56.6252422940362,56.3379591158104,58.341575609031,57.2660336189276,55.9902742034368,58.9065245147386,58.6897965863389,58.7357388618888,59.1244542907856,60.4289485632303,62.8331494256567,61.9384190259476,61.9837443733936
SNR=3,46.272364910879,47.5666526699333,48.5157099981521,49.19169271544,50.4593842512968,50.2323827099974,51.0810055941931,50.7397634341672,52.2166965373224,52.1429240995068,51.7686695034968,52.8936927351054,54.6269254774303
SNR=0,38.848883433417,40.8362083785273,42.1744450803787,41.8133593796304,42.894250510076,44.125197977981,44.7515337112555,45.1910582599085,45.274150529162,45.5043748556836,48.0921298898387,44.4026548247026,48.1264278225634
SNR=-3,48.5183198471118,49.7982916714145,51.0191139843196,47.1803850830056,48.9004886267817,49.0492643319413,51.4389459892098,49.3622979764068,48.2923135586193,47.8611526875265,48.669431086939,49.6347887905712,46.9144236472688
