Epoch [1/200], Batch [1/2500], (Coarse) Loss: 11266.2861
Epoch [1/200], Batch [101/2500], Coarse Loss: 120.4842, Fine Loss: 26.5875
Epoch [1/200], Batch [201/2500], Coarse Loss: 53.7193, Fine Loss: 18.8298
Epoch [1/200], Batch [301/2500], Coarse Loss: 41.7756, Fine Loss: 25.0138
Epoch [1/200], Batch [401/2500], Coarse Loss: 36.3051, Fine Loss: 25.2689
Epoch [1/200], Batch [501/2500], Coarse Loss: 31.2271, Fine Loss: 20.6708
Epoch [1/200], Batch [601/2500], Coarse Loss: 33.7416, Fine Loss: 18.9152
Epoch [1/200], Batch [701/2500], Coarse Loss: 38.3521, Fine Loss: 26.2019
Epoch [1/200], Batch [801/2500], Coarse Loss: 24.5875, Fine Loss: 16.0591
Epoch [1/200], Batch [901/2500], Coarse Loss: 49.3391, Fine Loss: 19.1412
Epoch [1/200], Batch [1001/2500], Coarse Loss: 40.7317, Fine Loss: 19.2311
Epoch [1/200], Batch [1101/2500], Coarse Loss: 22.7089, Fine Loss: 16.7507
Epoch [1/200], Batch [1201/2500], Coarse Loss: 25.3532, Fine Loss: 14.1929
Epoch [1/200], Batch [1301/2500], Coarse Loss: 24.1915, Fine Loss: 16.9441
Epoch [1/200], Batch [1401/2500], Coarse Loss: 25.5241, Fine Loss: 19.1006
Epoch [1/200], Batch [1501/2500], Coarse Loss: 23.5414, Fine Loss: 18.4484
Epoch [1/200], Batch [1601/2500], Coarse Loss: 40.3028, Fine Loss: 23.4639
Epoch [1/200], Batch [1701/2500], Coarse Loss: 22.6875, Fine Loss: 18.5510
Epoch [1/200], Batch [1801/2500], Coarse Loss: 25.4527, Fine Loss: 17.7046
Epoch [1/200], Batch [1901/2500], Coarse Loss: 36.2901, Fine Loss: 19.9986
Epoch [1/200], Batch [2001/2500], Coarse Loss: 19.0774, Fine Loss: 13.3411
Epoch [1/200], Batch [2101/2500], Coarse Loss: 26.6113, Fine Loss: 19.4930
Epoch [1/200], Batch [2201/2500], Coarse Loss: 20.6337, Fine Loss: 14.0152
Epoch [1/200], Batch [2301/2500], Coarse Loss: 25.5150, Fine Loss: 20.3541
Epoch [1/200], Batch [2401/2500], Coarse Loss: 27.2190, Fine Loss: 21.0888
Epoch [2/200], Batch [1/2500], Coarse Loss: 18.0725, Fine Loss: 14.4087
Epoch [2/200], Batch [101/2500], Coarse Loss: 26.7622, Fine Loss: 16.7141
Epoch [2/200], Batch [201/2500], Coarse Loss: 22.7878, Fine Loss: 21.0389
Epoch [2/200], Batch [301/2500], Coarse Loss: 30.1737, Fine Loss: 16.3955
Epoch [2/200], Batch [401/2500], Coarse Loss: 26.4361, Fine Loss: 24.3657
Epoch [2/200], Batch [501/2500], Coarse Loss: 23.9511, Fine Loss: 20.4883
Epoch [2/200], Batch [601/2500], Coarse Loss: 25.9070, Fine Loss: 18.2077
Epoch [2/200], Batch [701/2500], Coarse Loss: 26.8547, Fine Loss: 20.3666
Epoch [2/200], Batch [801/2500], Coarse Loss: 39.7044, Fine Loss: 16.7520
Epoch [2/200], Batch [901/2500], Coarse Loss: 21.9672, Fine Loss: 18.1567
Epoch [2/200], Batch [1001/2500], Coarse Loss: 21.8617, Fine Loss: 16.7702
Epoch [2/200], Batch [1101/2500], Coarse Loss: 33.2194, Fine Loss: 22.0031
Epoch [2/200], Batch [1201/2500], Coarse Loss: 20.9934, Fine Loss: 19.1523
Epoch [2/200], Batch [1301/2500], Coarse Loss: 25.2793, Fine Loss: 20.4731
Epoch [2/200], Batch [1401/2500], Coarse Loss: 18.5005, Fine Loss: 16.5755
Epoch [2/200], Batch [1501/2500], Coarse Loss: 24.9780, Fine Loss: 19.8987
Epoch [2/200], Batch [1601/2500], Coarse Loss: 42.6126, Fine Loss: 20.2552
Epoch [2/200], Batch [1701/2500], Coarse Loss: 26.3494, Fine Loss: 18.7817
Epoch [2/200], Batch [1801/2500], Coarse Loss: 26.5579, Fine Loss: 21.7057
Epoch [2/200], Batch [1901/2500], Coarse Loss: 23.9671, Fine Loss: 19.4624
Epoch [2/200], Batch [2001/2500], Coarse Loss: 43.6281, Fine Loss: 20.4984
Epoch [2/200], Batch [2101/2500], Coarse Loss: 41.4765, Fine Loss: 32.2324
Epoch [2/200], Batch [2201/2500], Coarse Loss: 22.0719, Fine Loss: 13.2690
Epoch [2/200], Batch [2301/2500], Coarse Loss: 22.8803, Fine Loss: 18.9704
Epoch [2/200], Batch [2401/2500], Coarse Loss: 32.9329, Fine Loss: 31.2931
Epoch [3/200], Batch [1/2500], Coarse Loss: 19.6439, Fine Loss: 16.5919
Epoch [3/200], Batch [101/2500], Coarse Loss: 28.2174, Fine Loss: 27.1225
Epoch [3/200], Batch [201/2500], Coarse Loss: 19.6782, Fine Loss: 16.6758
Epoch [3/200], Batch [301/2500], Coarse Loss: 21.1378, Fine Loss: 16.6339
Epoch [3/200], Batch [401/2500], Coarse Loss: 28.6310, Fine Loss: 17.6816
Epoch [3/200], Batch [501/2500], Coarse Loss: 29.9176, Fine Loss: 27.9328
Epoch [3/200], Batch [601/2500], Coarse Loss: 21.1693, Fine Loss: 17.4662
Epoch [3/200], Batch [701/2500], Coarse Loss: 18.3699, Fine Loss: 16.2099
Epoch [3/200], Batch [801/2500], Coarse Loss: 22.6670, Fine Loss: 18.8919
Epoch [3/200], Batch [901/2500], Coarse Loss: 26.7130, Fine Loss: 22.9554
Epoch [3/200], Batch [1001/2500], Coarse Loss: 18.7586, Fine Loss: 13.9101
Epoch [3/200], Batch [1101/2500], Coarse Loss: 20.1979, Fine Loss: 15.5500
Epoch [3/200], Batch [1201/2500], Coarse Loss: 14.9719, Fine Loss: 12.1921
Epoch [3/200], Batch [1301/2500], Coarse Loss: 22.8208, Fine Loss: 17.4302
Epoch [3/200], Batch [1401/2500], Coarse Loss: 25.4422, Fine Loss: 21.9388
Epoch [3/200], Batch [1501/2500], Coarse Loss: 21.1223, Fine Loss: 17.8916
Epoch [3/200], Batch [1601/2500], Coarse Loss: 20.8497, Fine Loss: 18.2603
Epoch [3/200], Batch [1701/2500], Coarse Loss: 27.2820, Fine Loss: 24.0839
Epoch [3/200], Batch [1801/2500], Coarse Loss: 30.1204, Fine Loss: 16.0748
Epoch [3/200], Batch [1901/2500], Coarse Loss: 15.0614, Fine Loss: 12.3846
Epoch [3/200], Batch [2001/2500], Coarse Loss: 29.0106, Fine Loss: 25.1782
Epoch [3/200], Batch [2101/2500], Coarse Loss: 27.3815, Fine Loss: 24.9786
Epoch [3/200], Batch [2201/2500], Coarse Loss: 31.4037, Fine Loss: 24.3523
Epoch [3/200], Batch [2301/2500], Coarse Loss: 25.2505, Fine Loss: 22.1532
Epoch [3/200], Batch [2401/2500], Coarse Loss: 26.6088, Fine Loss: 22.5462
Epoch [4/200], Batch [1/2500], Coarse Loss: 26.7165, Fine Loss: 22.2546
