Epoch [1/200], Batch [1/2500], (Coarse) Loss: 11013.1650
Epoch [1/200], Batch [101/2500], Coarse Loss: 106.3588, Fine Loss: 21.1570
Epoch [1/200], Batch [201/2500], Coarse Loss: 44.2320, Fine Loss: 13.4259
Epoch [1/200], Batch [301/2500], Coarse Loss: 37.3049, Fine Loss: 10.5957
Epoch [1/200], Batch [401/2500], Coarse Loss: 26.3716, Fine Loss: 11.0247
Epoch [1/200], Batch [501/2500], Coarse Loss: 64.9831, Fine Loss: 16.1737
Epoch [1/200], Batch [601/2500], Coarse Loss: 38.1527, Fine Loss: 10.0418
Epoch [1/200], Batch [701/2500], Coarse Loss: 30.6814, Fine Loss: 10.8903
Epoch [1/200], Batch [801/2500], Coarse Loss: 25.0156, Fine Loss: 10.6498
Epoch [1/200], Batch [901/2500], Coarse Loss: 22.2279, Fine Loss: 11.1529
Epoch [1/200], Batch [1001/2500], Coarse Loss: 15.4052, Fine Loss: 9.5221
Epoch [1/200], Batch [1101/2500], Coarse Loss: 24.8189, Fine Loss: 9.5075
Epoch [1/200], Batch [1201/2500], Coarse Loss: 17.1618, Fine Loss: 7.8006
Epoch [1/200], Batch [1301/2500], Coarse Loss: 20.7558, Fine Loss: 9.5892
Epoch [1/200], Batch [1401/2500], Coarse Loss: 13.3977, Fine Loss: 7.7976
Epoch [1/200], Batch [1501/2500], Coarse Loss: 13.5428, Fine Loss: 7.7980
Epoch [1/200], Batch [1601/2500], Coarse Loss: 27.6288, Fine Loss: 12.0912
Epoch [1/200], Batch [1701/2500], Coarse Loss: 12.9721, Fine Loss: 7.8549
Epoch [1/200], Batch [1801/2500], Coarse Loss: 16.3939, Fine Loss: 8.2730
Epoch [1/200], Batch [1901/2500], Coarse Loss: 10.8066, Fine Loss: 6.6473
Epoch [1/200], Batch [2001/2500], Coarse Loss: 12.2148, Fine Loss: 6.6351
Epoch [1/200], Batch [2101/2500], Coarse Loss: 19.4602, Fine Loss: 9.8528
Epoch [1/200], Batch [2201/2500], Coarse Loss: 11.2718, Fine Loss: 7.2225
Epoch [1/200], Batch [2301/2500], Coarse Loss: 15.0311, Fine Loss: 7.6847
Epoch [1/200], Batch [2401/2500], Coarse Loss: 11.0075, Fine Loss: 6.7677
Epoch [2/200], Batch [1/2500], Coarse Loss: 16.1440, Fine Loss: 8.6323
Epoch [2/200], Batch [101/2500], Coarse Loss: 13.4694, Fine Loss: 7.7890
Epoch [2/200], Batch [201/2500], Coarse Loss: 30.4880, Fine Loss: 8.3768
Epoch [2/200], Batch [301/2500], Coarse Loss: 12.7278, Fine Loss: 6.8232
Epoch [2/200], Batch [401/2500], Coarse Loss: 16.5421, Fine Loss: 7.7315
Epoch [2/200], Batch [501/2500], Coarse Loss: 12.8848, Fine Loss: 8.2007
Epoch [2/200], Batch [601/2500], Coarse Loss: 50.2770, Fine Loss: 9.2524
Epoch [2/200], Batch [701/2500], Coarse Loss: 19.5056, Fine Loss: 7.1363
Epoch [2/200], Batch [801/2500], Coarse Loss: 10.2225, Fine Loss: 6.0148
Epoch [2/200], Batch [901/2500], Coarse Loss: 10.6849, Fine Loss: 7.8244
Epoch [2/200], Batch [1001/2500], Coarse Loss: 13.6784, Fine Loss: 10.0867
Epoch [2/200], Batch [1101/2500], Coarse Loss: 12.2403, Fine Loss: 8.4606
Epoch [2/200], Batch [1201/2500], Coarse Loss: 14.9009, Fine Loss: 8.8623
Epoch [2/200], Batch [1301/2500], Coarse Loss: 13.5936, Fine Loss: 7.3526
Epoch [2/200], Batch [1401/2500], Coarse Loss: 13.3357, Fine Loss: 6.8435
Epoch [2/200], Batch [1501/2500], Coarse Loss: 20.9012, Fine Loss: 8.2969
Epoch [2/200], Batch [1601/2500], Coarse Loss: 25.8754, Fine Loss: 8.6543
Epoch [2/200], Batch [1701/2500], Coarse Loss: 12.0027, Fine Loss: 7.8386
Epoch [2/200], Batch [1801/2500], Coarse Loss: 18.6928, Fine Loss: 7.9224
