Epoch [1/200], Batch [1/500], (Coarse) Loss: 10896.4473
Epoch [1/200], Batch [101/500], Coarse Loss: 125.8661, Fine Loss: 25.6758
Epoch [1/200], Batch [201/500], Coarse Loss: 63.6599, Fine Loss: 19.2196
Epoch [1/200], Batch [301/500], Coarse Loss: 43.6838, Fine Loss: 20.7496
Epoch [1/200], Batch [401/500], Coarse Loss: 35.1606, Fine Loss: 14.0746
Epoch [2/200], Batch [1/500], Coarse Loss: 21.8773, Fine Loss: 13.7643
Epoch [2/200], Batch [101/500], Coarse Loss: 21.7998, Fine Loss: 12.8796
Epoch [2/200], Batch [201/500], Coarse Loss: 22.1528, Fine Loss: 13.6201
Epoch [2/200], Batch [301/500], Coarse Loss: 18.1511, Fine Loss: 8.9694
Epoch [2/200], Batch [401/500], Coarse Loss: 26.2012, Fine Loss: 16.2533
Epoch [3/200], Batch [1/500], Coarse Loss: 22.3598, Fine Loss: 10.5776
Epoch [3/200], Batch [101/500], Coarse Loss: 18.2949, Fine Loss: 10.2011
Epoch [3/200], Batch [201/500], Coarse Loss: 27.6894, Fine Loss: 11.4231
Epoch [3/200], Batch [301/500], Coarse Loss: 31.5441, Fine Loss: 13.4343
Epoch [3/200], Batch [401/500], Coarse Loss: 17.8857, Fine Loss: 10.0350
Epoch [4/200], Batch [1/500], Coarse Loss: 17.8587, Fine Loss: 9.6804
Epoch [4/200], Batch [101/500], Coarse Loss: 19.0870, Fine Loss: 13.9194
Epoch [4/200], Batch [201/500], Coarse Loss: 17.3704, Fine Loss: 9.4157
Epoch [4/200], Batch [301/500], Coarse Loss: 30.6112, Fine Loss: 9.2580
Epoch [4/200], Batch [401/500], Coarse Loss: 19.3129, Fine Loss: 11.3783
Epoch [5/200], Batch [1/500], Coarse Loss: 39.3516, Fine Loss: 11.8958
Epoch [5/200], Batch [101/500], Coarse Loss: 14.5145, Fine Loss: 9.8870
Epoch [5/200], Batch [201/500], Coarse Loss: 17.9662, Fine Loss: 14.4680
Epoch [5/200], Batch [301/500], Coarse Loss: 25.3920, Fine Loss: 15.6008
Epoch [5/200], Batch [401/500], Coarse Loss: 19.4938, Fine Loss: 9.5974
Epoch [6/200], Batch [1/500], Coarse Loss: 18.3187, Fine Loss: 9.5824
Epoch [6/200], Batch [101/500], Coarse Loss: 15.1151, Fine Loss: 11.1764
Epoch [6/200], Batch [201/500], Coarse Loss: 15.5062, Fine Loss: 9.6447
Epoch [6/200], Batch [301/500], Coarse Loss: 18.4769, Fine Loss: 10.9248
Epoch [6/200], Batch [401/500], Coarse Loss: 17.9325, Fine Loss: 12.6372
Epoch [7/200], Batch [1/500], Coarse Loss: 13.2077, Fine Loss: 8.9002
Epoch [7/200], Batch [101/500], Coarse Loss: 28.3973, Fine Loss: 15.4637
Epoch [7/200], Batch [201/500], Coarse Loss: 33.8378, Fine Loss: 10.7020
Epoch [7/200], Batch [301/500], Coarse Loss: 22.0928, Fine Loss: 9.9515
Epoch [7/200], Batch [401/500], Coarse Loss: 24.2526, Fine Loss: 11.7856
Epoch [8/200], Batch [1/500], Coarse Loss: 15.6917, Fine Loss: 12.4965
Epoch [8/200], Batch [101/500], Coarse Loss: 16.2010, Fine Loss: 11.7730
Epoch [8/200], Batch [201/500], Coarse Loss: 14.9008, Fine Loss: 11.4648
Epoch [8/200], Batch [301/500], Coarse Loss: 18.0708, Fine Loss: 10.2381
Epoch [8/200], Batch [401/500], Coarse Loss: 21.6038, Fine Loss: 8.9894
Epoch [9/200], Batch [1/500], Coarse Loss: 16.8145, Fine Loss: 12.8477
Epoch [9/200], Batch [101/500], Coarse Loss: 17.0026, Fine Loss: 12.0465
