Epoch [1/200], Batch [1/500], (Coarse) Loss: 10924.6045
Epoch [1/200], Batch [101/500], Coarse Loss: 139.8594, Fine Loss: 20.1050
Epoch [1/200], Batch [201/500], Coarse Loss: 51.9796, Fine Loss: 13.1910
Epoch [1/200], Batch [301/500], Coarse Loss: 38.2125, Fine Loss: 11.9022
Epoch [1/200], Batch [401/500], Coarse Loss: 26.9974, Fine Loss: 11.0981
Epoch [2/200], Batch [1/500], Coarse Loss: 17.9918, Fine Loss: 8.2647
Epoch [2/200], Batch [101/500], Coarse Loss: 17.8867, Fine Loss: 8.7422
Epoch [2/200], Batch [201/500], Coarse Loss: 15.2002, Fine Loss: 7.9010
Epoch [2/200], Batch [301/500], Coarse Loss: 44.8218, Fine Loss: 6.8666
Epoch [2/200], Batch [401/500], Coarse Loss: 25.4983, Fine Loss: 6.1517
Epoch [3/200], Batch [1/500], Coarse Loss: 15.9968, Fine Loss: 7.8376
Epoch [3/200], Batch [101/500], Coarse Loss: 10.0913, Fine Loss: 5.2608
Epoch [3/200], Batch [201/500], Coarse Loss: 12.4610, Fine Loss: 6.9420
Epoch [3/200], Batch [301/500], Coarse Loss: 19.3207, Fine Loss: 7.4768
Epoch [3/200], Batch [401/500], Coarse Loss: 18.6016, Fine Loss: 6.7254
Epoch [4/200], Batch [1/500], Coarse Loss: 18.5392, Fine Loss: 6.0616
Epoch [4/200], Batch [101/500], Coarse Loss: 17.8824, Fine Loss: 8.1853
Epoch [4/200], Batch [201/500], Coarse Loss: 10.6170, Fine Loss: 6.4925
Epoch [4/200], Batch [301/500], Coarse Loss: 18.5062, Fine Loss: 8.1234
Epoch [4/200], Batch [401/500], Coarse Loss: 13.2727, Fine Loss: 6.5471
Epoch [5/200], Batch [1/500], Coarse Loss: 11.5586, Fine Loss: 6.8311
Epoch [5/200], Batch [101/500], Coarse Loss: 13.2285, Fine Loss: 6.8046
Epoch [5/200], Batch [201/500], Coarse Loss: 14.0624, Fine Loss: 8.3002
Epoch [5/200], Batch [301/500], Coarse Loss: 11.3868, Fine Loss: 6.5361
Epoch [5/200], Batch [401/500], Coarse Loss: 36.3715, Fine Loss: 8.8406
Epoch [6/200], Batch [1/500], Coarse Loss: 12.1531, Fine Loss: 6.0078
Epoch [6/200], Batch [101/500], Coarse Loss: 13.1201, Fine Loss: 5.6610
