Ground Truth ToA: 58.693233489990234, Coarse ToA: 56.93443298339844, Fine ToA: 74.03768157958984
Ground Truth ToA: 120.39456176757812, Coarse ToA: 116.93975830078125, Fine ToA: 73.55770111083984
Ground Truth ToA: 115.69197845458984, Coarse ToA: 102.141845703125, Fine ToA: 118.34056854248047
Ground Truth ToA: 105.9312515258789, Coarse ToA: 110.63450622558594, Fine ToA: 55.601837158203125
Ground Truth ToA: 125.10852813720703, Coarse ToA: 123.04490661621094, Fine ToA: 141.1786651611328
Ground Truth ToA: 144.95632934570312, Coarse ToA: 141.2751922607422, Fine ToA: 145.40988159179688
Ground Truth ToA: 115.18058776855469, Coarse ToA: 109.3259506225586, Fine ToA: 110.97541046142578
Ground Truth ToA: 147.8819122314453, Coarse ToA: 149.2734375, Fine ToA: 150.7755889892578
Ground Truth ToA: 96.42280578613281, Coarse ToA: 85.13117980957031, Fine ToA: 120.86622619628906
Ground Truth ToA: 116.68132019042969, Coarse ToA: 111.27458953857422, Fine ToA: 115.99381256103516
Ground Truth ToA: 94.07564544677734, Coarse ToA: 94.87208557128906, Fine ToA: 96.86044311523438
Ground Truth ToA: 91.64099884033203, Coarse ToA: 89.62059020996094, Fine ToA: 83.39427185058594
Ground Truth ToA: 107.248291015625, Coarse ToA: 105.25867462158203, Fine ToA: 78.28211975097656
Ground Truth ToA: 80.76792907714844, Coarse ToA: 74.48906707763672, Fine ToA: 77.05936431884766
Ground Truth ToA: 94.46861267089844, Coarse ToA: 94.25689697265625, Fine ToA: 92.91585540771484
Ground Truth ToA: 128.52024841308594, Coarse ToA: 123.75623321533203, Fine ToA: 58.45219039916992
Ground Truth ToA: 80.03374481201172, Coarse ToA: 74.37545013427734, Fine ToA: 77.19313049316406
Ground Truth ToA: 52.638397216796875, Coarse ToA: 56.19019317626953, Fine ToA: 53.977237701416016
Ground Truth ToA: 86.02558898925781, Coarse ToA: 87.91702270507812, Fine ToA: 86.77034759521484
Ground Truth ToA: 125.43852233886719, Coarse ToA: 122.97811889648438, Fine ToA: 59.70005416870117
Ground Truth ToA: 60.6446533203125, Coarse ToA: 67.61766815185547, Fine ToA: 63.806766510009766
Ground Truth ToA: 109.04884338378906, Coarse ToA: 113.6005630493164, Fine ToA: 111.50513458251953
Ground Truth ToA: 140.67593383789062, Coarse ToA: 139.64492797851562, Fine ToA: 132.61936950683594
Ground Truth ToA: 75.33991241455078, Coarse ToA: 77.00870513916016, Fine ToA: 74.22563171386719
Ground Truth ToA: 118.9328842163086, Coarse ToA: 115.60303497314453, Fine ToA: 116.70623016357422
Ground Truth ToA: 69.44219207763672, Coarse ToA: 68.38699340820312, Fine ToA: 67.0163345336914
Ground Truth ToA: 104.77132415771484, Coarse ToA: 100.80728912353516, Fine ToA: 100.2958984375
Ground Truth ToA: 63.54478454589844, Coarse ToA: 60.619354248046875, Fine ToA: 69.10423278808594
Ground Truth ToA: 68.01239776611328, Coarse ToA: 62.49348068237305, Fine ToA: 63.86925506591797
Ground Truth ToA: 81.273193359375, Coarse ToA: 83.89207458496094, Fine ToA: 83.3966064453125
Ground Truth ToA: 59.18449020385742, Coarse ToA: 60.555240631103516, Fine ToA: 60.212005615234375
Ground Truth ToA: 80.60578918457031, Coarse ToA: 80.5192642211914, Fine ToA: 139.38722229003906
Ground Truth ToA: 58.32372283935547, Coarse ToA: 61.082035064697266, Fine ToA: 58.794464111328125
Ground Truth ToA: 147.01856994628906, Coarse ToA: 147.49131774902344, Fine ToA: 148.88539123535156
Ground Truth ToA: 114.70024108886719, Coarse ToA: 119.13886260986328, Fine ToA: 126.31278228759766
Ground Truth ToA: 75.70850372314453, Coarse ToA: 78.0794448852539, Fine ToA: 76.498291015625
Ground Truth ToA: 84.75775909423828, Coarse ToA: 82.68476867675781, Fine ToA: 81.4846420288086
Ground Truth ToA: 62.981807708740234, Coarse ToA: 61.57890319824219, Fine ToA: 60.193031311035156
Ground Truth ToA: 93.5914077758789, Coarse ToA: 93.67613220214844, Fine ToA: 95.14920043945312
Ground Truth ToA: 103.6892318725586, Coarse ToA: 100.1907730102539, Fine ToA: 102.93089294433594
Ground Truth ToA: 64.63262939453125, Coarse ToA: 63.64702606201172, Fine ToA: 137.73480224609375
Ground Truth ToA: 99.18424987792969, Coarse ToA: 107.52722930908203, Fine ToA: 136.42701721191406
Ground Truth ToA: 66.2069320678711, Coarse ToA: 62.829627990722656, Fine ToA: 58.62763214111328
Ground Truth ToA: 110.60114288330078, Coarse ToA: 124.48589324951172, Fine ToA: 123.38945007324219
Ground Truth ToA: 87.84569549560547, Coarse ToA: 96.70767974853516, Fine ToA: 89.50831604003906
Ground Truth ToA: 96.86016082763672, Coarse ToA: 97.62205505371094, Fine ToA: 96.85552978515625
Ground Truth ToA: 85.35745239257812, Coarse ToA: 88.14281463623047, Fine ToA: 86.18328094482422
Ground Truth ToA: 113.94989013671875, Coarse ToA: 113.61752319335938, Fine ToA: 112.91868591308594
Ground Truth ToA: 74.34239959716797, Coarse ToA: 74.66063690185547, Fine ToA: 77.0492172241211
Ground Truth ToA: 55.50057601928711, Coarse ToA: 76.03469848632812, Fine ToA: 74.09397888183594
Ground Truth ToA: 68.40096282958984, Coarse ToA: 74.9853286743164, Fine ToA: 73.47685241699219
Ground Truth ToA: 106.78007507324219, Coarse ToA: 101.60295104980469, Fine ToA: 100.57456970214844
Ground Truth ToA: 116.90766906738281, Coarse ToA: 115.64328002929688, Fine ToA: 118.67050170898438
Ground Truth ToA: 75.85855102539062, Coarse ToA: 81.61601257324219, Fine ToA: 77.0283432006836
Ground Truth ToA: 80.69993591308594, Coarse ToA: 79.650146484375, Fine ToA: 80.61223602294922
Ground Truth ToA: 147.69064331054688, Coarse ToA: 145.75555419921875, Fine ToA: 149.25051879882812
Ground Truth ToA: 100.57545471191406, Coarse ToA: 95.09268188476562, Fine ToA: 54.60965347290039
Ground Truth ToA: 58.802127838134766, Coarse ToA: 60.61778259277344, Fine ToA: 58.76020050048828
Ground Truth ToA: 66.56001281738281, Coarse ToA: 65.3879623413086, Fine ToA: 64.37633514404297
Ground Truth ToA: 140.73709106445312, Coarse ToA: 139.23638916015625, Fine ToA: 138.60684204101562
Ground Truth ToA: 86.64961242675781, Coarse ToA: 87.12789916992188, Fine ToA: 86.54277801513672
Ground Truth ToA: 111.24158477783203, Coarse ToA: 111.18376922607422, Fine ToA: 78.8413314819336
Ground Truth ToA: 102.09088134765625, Coarse ToA: 95.0872802734375, Fine ToA: 68.34133911132812
Ground Truth ToA: 122.81143188476562, Coarse ToA: 116.10354614257812, Fine ToA: 118.11477661132812
