Ground Truth ToA: 135.73028564453125, Coarse ToA: 137.71424865722656, Fine ToA: 122.51608276367188
Ground Truth ToA: 121.04483795166016, Coarse ToA: 124.30360412597656, Fine ToA: 103.075927734375
Ground Truth ToA: 92.09541320800781, Coarse ToA: 89.88168334960938, Fine ToA: 91.61599731445312
Ground Truth ToA: 77.66400909423828, Coarse ToA: 75.19573974609375, Fine ToA: 103.32339477539062
Ground Truth ToA: 56.69280242919922, Coarse ToA: 52.754417419433594, Fine ToA: 55.940330505371094
Ground Truth ToA: 121.04147338867188, Coarse ToA: 112.70958709716797, Fine ToA: 82.83863830566406
Ground Truth ToA: 88.6513671875, Coarse ToA: 84.48652648925781, Fine ToA: 128.72119140625
Ground Truth ToA: 125.65005493164062, Coarse ToA: 127.23867797851562, Fine ToA: 110.55734252929688
Ground Truth ToA: 56.519840240478516, Coarse ToA: 53.617897033691406, Fine ToA: 54.30026626586914
Ground Truth ToA: 109.93091583251953, Coarse ToA: 108.342041015625, Fine ToA: 108.50205993652344
Ground Truth ToA: 136.51145935058594, Coarse ToA: 135.38328552246094, Fine ToA: 65.7989273071289
Ground Truth ToA: 58.98454666137695, Coarse ToA: 59.99485778808594, Fine ToA: 145.1759796142578
Ground Truth ToA: 64.12425994873047, Coarse ToA: 58.743595123291016, Fine ToA: 104.7030258178711
Ground Truth ToA: 50.12249755859375, Coarse ToA: 52.31028747558594, Fine ToA: 49.12997055053711
Ground Truth ToA: 87.55644226074219, Coarse ToA: 89.58854675292969, Fine ToA: 75.91461181640625
Ground Truth ToA: 61.40071105957031, Coarse ToA: 62.17624282836914, Fine ToA: 110.60875701904297
Ground Truth ToA: 127.6948013305664, Coarse ToA: 127.61791229248047, Fine ToA: 129.2166748046875
Ground Truth ToA: 147.93614196777344, Coarse ToA: 149.2135467529297, Fine ToA: 67.89389038085938
Ground Truth ToA: 108.72773742675781, Coarse ToA: 109.99787902832031, Fine ToA: 109.9474105834961
Ground Truth ToA: 134.13368225097656, Coarse ToA: 135.86709594726562, Fine ToA: 133.7580108642578
Ground Truth ToA: 99.64498138427734, Coarse ToA: 94.85139465332031, Fine ToA: 106.20960235595703
Ground Truth ToA: 77.50511169433594, Coarse ToA: 71.57310485839844, Fine ToA: 74.66001892089844
Ground Truth ToA: 133.41529846191406, Coarse ToA: 134.667724609375, Fine ToA: 132.92164611816406
Ground Truth ToA: 128.23326110839844, Coarse ToA: 136.03121948242188, Fine ToA: 131.50942993164062
Ground Truth ToA: 127.52098846435547, Coarse ToA: 130.34828186035156, Fine ToA: 128.3048095703125
Ground Truth ToA: 52.17377853393555, Coarse ToA: 52.141109466552734, Fine ToA: 54.15687942504883
Ground Truth ToA: 128.16683959960938, Coarse ToA: 133.7794647216797, Fine ToA: 128.99972534179688
Ground Truth ToA: 106.08049774169922, Coarse ToA: 108.30630493164062, Fine ToA: 90.78079986572266
Ground Truth ToA: 141.5613555908203, Coarse ToA: 139.56796264648438, Fine ToA: 54.054107666015625
Ground Truth ToA: 71.88540649414062, Coarse ToA: 70.64111328125, Fine ToA: 70.98360443115234
Ground Truth ToA: 86.07354736328125, Coarse ToA: 82.49079895019531, Fine ToA: 145.09239196777344
Ground Truth ToA: 64.96759796142578, Coarse ToA: 66.4979248046875, Fine ToA: 64.52069091796875
Ground Truth ToA: 67.8121566772461, Coarse ToA: 64.32563018798828, Fine ToA: 64.8150863647461
Ground Truth ToA: 122.03349304199219, Coarse ToA: 120.77023315429688, Fine ToA: 120.64691925048828
Ground Truth ToA: 91.23490905761719, Coarse ToA: 88.51717376708984, Fine ToA: 77.95284271240234
Ground Truth ToA: 104.40558624267578, Coarse ToA: 105.04924774169922, Fine ToA: 104.63255310058594
Ground Truth ToA: 117.03409576416016, Coarse ToA: 111.4433822631836, Fine ToA: 115.35942840576172
Ground Truth ToA: 66.6876449584961, Coarse ToA: 67.2900390625, Fine ToA: 97.54800415039062
Ground Truth ToA: 109.27232360839844, Coarse ToA: 118.05457305908203, Fine ToA: 113.63322448730469
Ground Truth ToA: 63.325069427490234, Coarse ToA: 59.17180633544922, Fine ToA: 121.7049560546875
Ground Truth ToA: 93.88327026367188, Coarse ToA: 87.661865234375, Fine ToA: 91.22309875488281
Ground Truth ToA: 69.46891784667969, Coarse ToA: 66.20833587646484, Fine ToA: 79.47099304199219
Ground Truth ToA: 89.85990142822266, Coarse ToA: 92.88605499267578, Fine ToA: 88.29383087158203
Ground Truth ToA: 59.422119140625, Coarse ToA: 58.63982009887695, Fine ToA: 56.8629035949707
Ground Truth ToA: 59.2636833190918, Coarse ToA: 59.81734085083008, Fine ToA: 62.6127815246582
Ground Truth ToA: 123.6095962524414, Coarse ToA: 122.72003936767578, Fine ToA: 97.60887908935547
Ground Truth ToA: 62.84773254394531, Coarse ToA: 58.10752487182617, Fine ToA: 55.40009307861328
Ground Truth ToA: 72.97547912597656, Coarse ToA: 69.75080871582031, Fine ToA: 71.81643676757812
Ground Truth ToA: 141.24183654785156, Coarse ToA: 141.39883422851562, Fine ToA: 141.80064392089844
Ground Truth ToA: 61.69684982299805, Coarse ToA: 57.32132339477539, Fine ToA: 110.06446838378906
Ground Truth ToA: 107.43585968017578, Coarse ToA: 120.35334014892578, Fine ToA: 117.32329559326172
Ground Truth ToA: 66.87834930419922, Coarse ToA: 65.91091918945312, Fine ToA: 68.33589172363281
Ground Truth ToA: 100.14469146728516, Coarse ToA: 102.6072006225586, Fine ToA: 101.89391326904297
Ground Truth ToA: 139.63575744628906, Coarse ToA: 138.5585174560547, Fine ToA: 138.6168975830078
Ground Truth ToA: 106.60028076171875, Coarse ToA: 106.51007843017578, Fine ToA: 106.94889068603516
Ground Truth ToA: 68.16743469238281, Coarse ToA: 65.9629135131836, Fine ToA: 74.91184997558594
Ground Truth ToA: 50.87044906616211, Coarse ToA: 49.47108459472656, Fine ToA: 141.30325317382812
Ground Truth ToA: 64.59013366699219, Coarse ToA: 67.79070281982422, Fine ToA: 66.1073989868164
Ground Truth ToA: 138.87924194335938, Coarse ToA: 151.78050231933594, Fine ToA: 149.2303924560547
Ground Truth ToA: 60.4180908203125, Coarse ToA: 61.15898132324219, Fine ToA: 62.47068405151367
Ground Truth ToA: 137.99424743652344, Coarse ToA: 139.99900817871094, Fine ToA: 78.66886138916016
Ground Truth ToA: 120.5985107421875, Coarse ToA: 121.0604248046875, Fine ToA: 118.61534881591797
Ground Truth ToA: 81.29060363769531, Coarse ToA: 78.03814697265625, Fine ToA: 93.09871673583984
Ground Truth ToA: 146.26512145996094, Coarse ToA: 143.74574279785156, Fine ToA: 147.43296813964844
Ground Truth ToA: 55.18195343017578, Coarse ToA: 53.80033493041992, Fine ToA: 124.76738739013672
Ground Truth ToA: 87.01514434814453, Coarse ToA: 88.61006164550781, Fine ToA: 89.27657318115234
Ground Truth ToA: 56.97039031982422, Coarse ToA: 58.89128875732422, Fine ToA: 61.09067153930664
Ground Truth ToA: 50.48927688598633, Coarse ToA: 53.90890884399414, Fine ToA: 53.491851806640625
Ground Truth ToA: 116.32263946533203, Coarse ToA: 115.42298126220703, Fine ToA: 110.81700897216797
Ground Truth ToA: 134.97286987304688, Coarse ToA: 137.74349975585938, Fine ToA: 134.35458374023438
Ground Truth ToA: 51.85751724243164, Coarse ToA: 53.59779739379883, Fine ToA: 52.874027252197266
Ground Truth ToA: 139.41024780273438, Coarse ToA: 141.19332885742188, Fine ToA: 139.76019287109375
Ground Truth ToA: 53.411869049072266, Coarse ToA: 58.126590728759766, Fine ToA: 90.18614196777344
Ground Truth ToA: 113.83905029296875, Coarse ToA: 113.50825500488281, Fine ToA: 112.3148193359375
Ground Truth ToA: 70.14082336425781, Coarse ToA: 68.67594909667969, Fine ToA: 65.87643432617188
Ground Truth ToA: 111.31233215332031, Coarse ToA: 114.5427017211914, Fine ToA: 112.24908447265625
Ground Truth ToA: 90.83536529541016, Coarse ToA: 90.50682067871094, Fine ToA: 90.93913269042969
Ground Truth ToA: 60.34551239013672, Coarse ToA: 62.50507736206055, Fine ToA: 59.93350601196289
Ground Truth ToA: 60.8577995300293, Coarse ToA: 69.5859375, Fine ToA: 67.38763427734375
Ground Truth ToA: 93.13742065429688, Coarse ToA: 97.5400161743164, Fine ToA: 96.181884765625
Ground Truth ToA: 100.79740905761719, Coarse ToA: 98.09123992919922, Fine ToA: 101.12425231933594
Ground Truth ToA: 95.22048950195312, Coarse ToA: 95.54357147216797, Fine ToA: 94.34637451171875
Ground Truth ToA: 61.4691047668457, Coarse ToA: 59.34032440185547, Fine ToA: 105.7445068359375
Ground Truth ToA: 104.5944595336914, Coarse ToA: 100.25086975097656, Fine ToA: 102.56978607177734
Ground Truth ToA: 81.4870376586914, Coarse ToA: 80.52986145019531, Fine ToA: 82.0902099609375
Ground Truth ToA: 129.2080078125, Coarse ToA: 128.72601318359375, Fine ToA: 128.46554565429688
Ground Truth ToA: 67.1529312133789, Coarse ToA: 64.06945037841797, Fine ToA: 65.49195098876953
Ground Truth ToA: 98.26907348632812, Coarse ToA: 99.65744018554688, Fine ToA: 96.87101745605469
Ground Truth ToA: 64.06121826171875, Coarse ToA: 67.2222671508789, Fine ToA: 58.06696319580078
Ground Truth ToA: 97.43064880371094, Coarse ToA: 96.07564544677734, Fine ToA: 111.32412719726562
Ground Truth ToA: 122.20513916015625, Coarse ToA: 116.83220672607422, Fine ToA: 120.34321594238281
Ground Truth ToA: 59.80863952636719, Coarse ToA: 62.16815185546875, Fine ToA: 64.53913116455078
Ground Truth ToA: 69.12576293945312, Coarse ToA: 70.28501892089844, Fine ToA: 71.99684143066406
Ground Truth ToA: 116.42236328125, Coarse ToA: 113.52153778076172, Fine ToA: 115.0316162109375
Ground Truth ToA: 111.32923126220703, Coarse ToA: 116.02669525146484, Fine ToA: 114.908203125
Ground Truth ToA: 108.82970428466797, Coarse ToA: 105.15960693359375, Fine ToA: 105.85066986083984
Ground Truth ToA: 54.29240036010742, Coarse ToA: 61.21872329711914, Fine ToA: 57.22785568237305
Ground Truth ToA: 105.39606475830078, Coarse ToA: 103.52213287353516, Fine ToA: 98.52099609375
Ground Truth ToA: 115.96774291992188, Coarse ToA: 116.27806854248047, Fine ToA: 139.94677734375
Ground Truth ToA: 68.35511016845703, Coarse ToA: 67.42473602294922, Fine ToA: 68.7843246459961
Ground Truth ToA: 130.8982391357422, Coarse ToA: 128.37220764160156, Fine ToA: 69.18484497070312
Ground Truth ToA: 125.37535858154297, Coarse ToA: 133.44976806640625, Fine ToA: 128.7095947265625
Ground Truth ToA: 136.5818634033203, Coarse ToA: 135.37083435058594, Fine ToA: 134.630615234375
Ground Truth ToA: 71.55728149414062, Coarse ToA: 78.79586791992188, Fine ToA: 77.81404113769531
Ground Truth ToA: 127.16751861572266, Coarse ToA: 123.25814819335938, Fine ToA: 125.16613006591797
Ground Truth ToA: 139.5232391357422, Coarse ToA: 137.58294677734375, Fine ToA: 137.52435302734375
Ground Truth ToA: 93.59566497802734, Coarse ToA: 87.94192504882812, Fine ToA: 73.14691162109375
Ground Truth ToA: 89.7512435913086, Coarse ToA: 89.27130126953125, Fine ToA: 86.38288879394531
Ground Truth ToA: 147.56884765625, Coarse ToA: 144.20372009277344, Fine ToA: 139.5022430419922
Ground Truth ToA: 87.00848388671875, Coarse ToA: 88.37371826171875, Fine ToA: 51.402645111083984
Ground Truth ToA: 103.93956756591797, Coarse ToA: 100.42382049560547, Fine ToA: 101.13410186767578
