Ground Truth ToA: 68.0351791381836, Coarse ToA: -0.004656733945012093
Ground Truth ToA: 111.83438873291016, Coarse ToA: 141.5918731689453
Ground Truth ToA: 103.81584930419922, Coarse ToA: 104.87755584716797
Ground Truth ToA: 115.1518783569336, Coarse ToA: 110.60691833496094
Ground Truth ToA: 115.13619995117188, Coarse ToA: 108.6854019165039
Ground Truth ToA: 76.88919830322266, Coarse ToA: 81.93228912353516
Ground Truth ToA: 145.70144653320312, Coarse ToA: 139.47666931152344
Ground Truth ToA: 55.480953216552734, Coarse ToA: 61.741477966308594
Ground Truth ToA: 147.26083374023438, Coarse ToA: 146.6719970703125
Ground Truth ToA: 65.51707458496094, Coarse ToA: 62.68561935424805
Ground Truth ToA: 134.7347412109375, Coarse ToA: 130.19680786132812
Ground Truth ToA: 98.96168518066406, Coarse ToA: 97.35807800292969
Ground Truth ToA: 92.06331634521484, Coarse ToA: 91.78270721435547
Ground Truth ToA: 149.42129516601562, Coarse ToA: 150.55361938476562
Ground Truth ToA: 122.64559936523438, Coarse ToA: 128.25648498535156
Ground Truth ToA: 117.23760223388672, Coarse ToA: 117.36328887939453
Ground Truth ToA: 75.59978485107422, Coarse ToA: 72.18631744384766
Ground Truth ToA: 99.00064086914062, Coarse ToA: 105.56066131591797
Ground Truth ToA: 139.32705688476562, Coarse ToA: 138.45582580566406
Ground Truth ToA: 68.51354217529297, Coarse ToA: 75.9320297241211
Ground Truth ToA: 140.21327209472656, Coarse ToA: 141.06820678710938
Ground Truth ToA: 92.87975311279297, Coarse ToA: 94.33094787597656
Ground Truth ToA: 139.56578063964844, Coarse ToA: 142.19671630859375
Ground Truth ToA: 96.31425476074219, Coarse ToA: 97.71874237060547
Ground Truth ToA: 103.98812866210938, Coarse ToA: 103.6799087524414
Ground Truth ToA: 135.40126037597656, Coarse ToA: 139.7713165283203
Ground Truth ToA: 74.4780044555664, Coarse ToA: 69.90357971191406
Ground Truth ToA: 128.19996643066406, Coarse ToA: 131.3506317138672
Ground Truth ToA: 143.2083282470703, Coarse ToA: 140.64073181152344
Ground Truth ToA: 73.3404769897461, Coarse ToA: 77.79979705810547
Ground Truth ToA: 96.931884765625, Coarse ToA: 95.38349151611328
Ground Truth ToA: 144.22796630859375, Coarse ToA: 145.470703125
Ground Truth ToA: 86.90940856933594, Coarse ToA: 89.24404907226562
Ground Truth ToA: 102.10334014892578, Coarse ToA: 104.11756896972656
Ground Truth ToA: 123.38803100585938, Coarse ToA: 119.22711181640625
Ground Truth ToA: 75.05376434326172, Coarse ToA: 77.12088775634766
Ground Truth ToA: 98.94359588623047, Coarse ToA: 96.23511505126953
Ground Truth ToA: 137.41787719726562, Coarse ToA: 133.19696044921875
Ground Truth ToA: 62.2414436340332, Coarse ToA: 62.34128189086914
Ground Truth ToA: 145.26011657714844, Coarse ToA: 146.77589416503906
Ground Truth ToA: 90.16231536865234, Coarse ToA: 86.80976867675781
Ground Truth ToA: 55.7897834777832, Coarse ToA: 59.58068084716797
Ground Truth ToA: 125.88841247558594, Coarse ToA: 121.87813568115234
Ground Truth ToA: 118.14395904541016, Coarse ToA: 118.34833526611328
Ground Truth ToA: 80.04322052001953, Coarse ToA: 76.22188568115234
Ground Truth ToA: 58.42185592651367, Coarse ToA: 56.924381256103516
