Ground Truth ToA: 96.0074234008789, Coarse ToA: -0.05096636340022087
Ground Truth ToA: 80.90519714355469, Coarse ToA: 79.29850006103516
Ground Truth ToA: 146.4073028564453, Coarse ToA: 138.36642456054688
Ground Truth ToA: 137.91860961914062, Coarse ToA: 140.75697326660156
Ground Truth ToA: 142.32257080078125, Coarse ToA: 144.5839080810547
Ground Truth ToA: 53.99985122680664, Coarse ToA: 60.416290283203125
Ground Truth ToA: 56.377986907958984, Coarse ToA: 58.27631759643555
Ground Truth ToA: 122.40029907226562, Coarse ToA: 125.13583374023438
Ground Truth ToA: 148.55332946777344, Coarse ToA: 146.12396240234375
Ground Truth ToA: 85.01575469970703, Coarse ToA: 78.60797882080078
Ground Truth ToA: 115.75186157226562, Coarse ToA: 113.48875427246094
Ground Truth ToA: 142.7950439453125, Coarse ToA: 142.75965881347656
Ground Truth ToA: 149.265625, Coarse ToA: 142.5511474609375
Ground Truth ToA: 75.64060974121094, Coarse ToA: 74.06722259521484
Ground Truth ToA: 117.52203369140625, Coarse ToA: 117.56444549560547
Ground Truth ToA: 97.07008361816406, Coarse ToA: 94.02946472167969
Ground Truth ToA: 100.22940063476562, Coarse ToA: 107.35089874267578
Ground Truth ToA: 99.47127532958984, Coarse ToA: 95.31939697265625
Ground Truth ToA: 117.78999328613281, Coarse ToA: 113.33507537841797
Ground Truth ToA: 69.06926727294922, Coarse ToA: 66.43916320800781
Ground Truth ToA: 148.2866668701172, Coarse ToA: 142.0921173095703
Ground Truth ToA: 136.82855224609375, Coarse ToA: 135.09324645996094
Ground Truth ToA: 116.58004760742188, Coarse ToA: 118.06195831298828
Ground Truth ToA: 136.86546325683594, Coarse ToA: 138.32933044433594
Ground Truth ToA: 100.53793334960938, Coarse ToA: 101.44058227539062
Ground Truth ToA: 71.89437103271484, Coarse ToA: 70.04085540771484
Ground Truth ToA: 100.11625671386719, Coarse ToA: 102.25896453857422
Ground Truth ToA: 118.69415283203125, Coarse ToA: 118.29912567138672
Ground Truth ToA: 84.26295471191406, Coarse ToA: 84.64510345458984
Ground Truth ToA: 82.278564453125, Coarse ToA: 83.78889465332031
Ground Truth ToA: 108.06635284423828, Coarse ToA: 106.18437194824219
Ground Truth ToA: 89.06754302978516, Coarse ToA: 87.07283782958984
Ground Truth ToA: 111.09403228759766, Coarse ToA: 108.28814697265625
Ground Truth ToA: 67.8846206665039, Coarse ToA: 63.961387634277344
Ground Truth ToA: 77.04753112792969, Coarse ToA: 76.06229400634766
Ground Truth ToA: 116.79528045654297, Coarse ToA: 112.50438690185547
Ground Truth ToA: 88.94463348388672, Coarse ToA: 89.63804626464844
Ground Truth ToA: 65.22098541259766, Coarse ToA: 65.54952239990234
Ground Truth ToA: 65.28630065917969, Coarse ToA: 62.91958999633789
Ground Truth ToA: 132.6442108154297, Coarse ToA: 130.16970825195312
Ground Truth ToA: 70.12035369873047, Coarse ToA: 64.1204833984375
Ground Truth ToA: 90.68093872070312, Coarse ToA: 89.12974548339844
Ground Truth ToA: 93.34741973876953, Coarse ToA: 105.51422882080078
Ground Truth ToA: 83.24519348144531, Coarse ToA: 80.7498779296875
Ground Truth ToA: 59.376102447509766, Coarse ToA: 58.91729736328125
Ground Truth ToA: 135.92324829101562, Coarse ToA: 131.33811950683594
Ground Truth ToA: 102.36861419677734, Coarse ToA: 103.7425765991211
Ground Truth ToA: 117.84966278076172, Coarse ToA: 121.54439544677734
Ground Truth ToA: 129.58901977539062, Coarse ToA: 125.34491729736328
Ground Truth ToA: 104.13898468017578, Coarse ToA: 104.55357360839844
Ground Truth ToA: 95.01696014404297, Coarse ToA: 99.0103988647461
Ground Truth ToA: 98.82820892333984, Coarse ToA: 100.65647888183594
Ground Truth ToA: 123.63347625732422, Coarse ToA: 129.7162322998047
Ground Truth ToA: 137.84413146972656, Coarse ToA: 137.46966552734375
Ground Truth ToA: 96.22518920898438, Coarse ToA: 96.78213500976562
Ground Truth ToA: 76.11392974853516, Coarse ToA: 76.55681610107422
Ground Truth ToA: 60.70015335083008, Coarse ToA: 59.1756591796875
Ground Truth ToA: 87.70143127441406, Coarse ToA: 87.9607162475586
Ground Truth ToA: 115.78813934326172, Coarse ToA: 114.21072387695312
Ground Truth ToA: 107.67790985107422, Coarse ToA: 106.30876922607422
Ground Truth ToA: 99.59188842773438, Coarse ToA: 101.23737335205078
Ground Truth ToA: 142.8266143798828, Coarse ToA: 139.33436584472656
Ground Truth ToA: 136.8346710205078, Coarse ToA: 136.26991271972656
Ground Truth ToA: 51.58340072631836, Coarse ToA: 53.25782012939453
Ground Truth ToA: 52.04500961303711, Coarse ToA: 50.54439926147461
Ground Truth ToA: 115.1631851196289, Coarse ToA: 113.70549774169922
Ground Truth ToA: 54.98522186279297, Coarse ToA: 54.37778091430664
Ground Truth ToA: 57.889766693115234, Coarse ToA: 57.965030670166016
Ground Truth ToA: 54.10939025878906, Coarse ToA: 52.56195831298828
Ground Truth ToA: 149.9977569580078, Coarse ToA: 146.67123413085938
Ground Truth ToA: 106.79834747314453, Coarse ToA: 109.29669189453125
Ground Truth ToA: 117.12286376953125, Coarse ToA: 117.87346649169922
Ground Truth ToA: 96.32194519042969, Coarse ToA: 97.29180145263672
Ground Truth ToA: 70.49088287353516, Coarse ToA: 67.57805633544922
Ground Truth ToA: 103.30255126953125, Coarse ToA: 110.14347839355469
Ground Truth ToA: 55.06508255004883, Coarse ToA: 56.80246353149414
Ground Truth ToA: 122.30181121826172, Coarse ToA: 125.47089385986328
Ground Truth ToA: 110.2103042602539, Coarse ToA: 106.66242980957031
Ground Truth ToA: 119.22186279296875, Coarse ToA: 119.83256530761719
Ground Truth ToA: 90.81715393066406, Coarse ToA: 89.2111587524414
Ground Truth ToA: 108.9007797241211, Coarse ToA: 108.2491683959961
Ground Truth ToA: 93.76138305664062, Coarse ToA: 92.92974090576172
Ground Truth ToA: 101.41531372070312, Coarse ToA: 97.45761108398438
Ground Truth ToA: 91.99640655517578, Coarse ToA: 91.69719696044922
Ground Truth ToA: 139.61669921875, Coarse ToA: 137.84657287597656
Ground Truth ToA: 111.9369888305664, Coarse ToA: 110.14396667480469
Ground Truth ToA: 115.80902099609375, Coarse ToA: 115.58740997314453
