Epoch [1/200], Batch [1/500], (Coarse) Loss: 10811.1924
Epoch [1/200], Batch [101/500], Coarse Loss: 105.6054, Fine Loss: 13.7491
Epoch [1/200], Batch [201/500], Coarse Loss: 50.0744, Fine Loss: 9.8419
Epoch [1/200], Batch [301/500], Coarse Loss: 36.9757, Fine Loss: 8.6554
Epoch [1/200], Batch [401/500], Coarse Loss: 23.2937, Fine Loss: 6.0078
Epoch [2/200], Batch [1/500], Coarse Loss: 20.7131, Fine Loss: 6.8399
Epoch [2/200], Batch [101/500], Coarse Loss: 23.8883, Fine Loss: 6.9361
Epoch [2/200], Batch [201/500], Coarse Loss: 15.8779, Fine Loss: 6.3886
Epoch [2/200], Batch [301/500], Coarse Loss: 13.2905, Fine Loss: 6.1688
Epoch [2/200], Batch [401/500], Coarse Loss: 14.0364, Fine Loss: 5.6961
Epoch [3/200], Batch [1/500], Coarse Loss: 15.4856, Fine Loss: 6.8064
Epoch [3/200], Batch [101/500], Coarse Loss: 13.3701, Fine Loss: 4.7173
Epoch [3/200], Batch [201/500], Coarse Loss: 29.6722, Fine Loss: 6.7920
Epoch [3/200], Batch [301/500], Coarse Loss: 12.2972, Fine Loss: 3.8832
Epoch [3/200], Batch [401/500], Coarse Loss: 10.0328, Fine Loss: 3.7044
Epoch [4/200], Batch [1/500], Coarse Loss: 10.8173, Fine Loss: 2.8840
Epoch [4/200], Batch [101/500], Coarse Loss: 10.8472, Fine Loss: 3.5178
Epoch [4/200], Batch [201/500], Coarse Loss: 39.0187, Fine Loss: 5.5273
Epoch [4/200], Batch [301/500], Coarse Loss: 22.1967, Fine Loss: 3.6841
Epoch [4/200], Batch [401/500], Coarse Loss: 11.7868, Fine Loss: 2.7979
Epoch [5/200], Batch [1/500], Coarse Loss: 8.4354, Fine Loss: 2.3938
Epoch [5/200], Batch [101/500], Coarse Loss: 10.2206, Fine Loss: 2.4562
Epoch [5/200], Batch [201/500], Coarse Loss: 9.2758, Fine Loss: 2.5362
Epoch [5/200], Batch [301/500], Coarse Loss: 16.4823, Fine Loss: 3.2971
Epoch [5/200], Batch [401/500], Coarse Loss: 8.4491, Fine Loss: 3.0512
Epoch [6/200], Batch [1/500], Coarse Loss: 12.7180, Fine Loss: 3.4532
Epoch [6/200], Batch [101/500], Coarse Loss: 9.2005, Fine Loss: 2.3990
Epoch [6/200], Batch [201/500], Coarse Loss: 9.2717, Fine Loss: 2.6529
Epoch [6/200], Batch [301/500], Coarse Loss: 20.9145, Fine Loss: 2.9151
Epoch [6/200], Batch [401/500], Coarse Loss: 10.4923, Fine Loss: 2.6297
Epoch [7/200], Batch [1/500], Coarse Loss: 8.7272, Fine Loss: 2.2863
Epoch [7/200], Batch [101/500], Coarse Loss: 9.4702, Fine Loss: 2.0452
Epoch [7/200], Batch [201/500], Coarse Loss: 10.6988, Fine Loss: 2.5022
Epoch [7/200], Batch [301/500], Coarse Loss: 9.2853, Fine Loss: 2.8165
Epoch [7/200], Batch [401/500], Coarse Loss: 16.0515, Fine Loss: 2.6944
Epoch [8/200], Batch [1/500], Coarse Loss: 7.4532, Fine Loss: 1.9945
Epoch [8/200], Batch [101/500], Coarse Loss: 8.7938, Fine Loss: 2.5998
Epoch [8/200], Batch [201/500], Coarse Loss: 7.6619, Fine Loss: 1.9343
Epoch [8/200], Batch [301/500], Coarse Loss: 8.8756, Fine Loss: 2.0904
Epoch [8/200], Batch [401/500], Coarse Loss: 7.0608, Fine Loss: 1.9060
Epoch [9/200], Batch [1/500], Coarse Loss: 8.1824, Fine Loss: 1.6414
Epoch [9/200], Batch [101/500], Coarse Loss: 11.6268, Fine Loss: 2.1373
