Epoch [1/200], Batch [1/500], (Coarse) Loss: 11359.4639
Epoch [1/200], Batch [101/500], Coarse Loss: 107.4093, Fine Loss: 20.4390
Epoch [1/200], Batch [201/500], Coarse Loss: 50.0910, Fine Loss: 15.6910
Epoch [1/200], Batch [301/500], Coarse Loss: 42.9559, Fine Loss: 8.0935
Epoch [1/200], Batch [401/500], Coarse Loss: 31.8789, Fine Loss: 6.4367
Epoch [2/200], Batch [1/500], Coarse Loss: 23.9527, Fine Loss: 12.5919
Epoch [2/200], Batch [101/500], Coarse Loss: 21.9260, Fine Loss: 6.4831
Epoch [2/200], Batch [201/500], Coarse Loss: 16.3175, Fine Loss: 4.6317
Epoch [2/200], Batch [301/500], Coarse Loss: 16.2492, Fine Loss: 5.7085
Epoch [2/200], Batch [401/500], Coarse Loss: 18.5556, Fine Loss: 5.0083
Epoch [3/200], Batch [1/500], Coarse Loss: 29.9379, Fine Loss: 7.6899
Epoch [3/200], Batch [101/500], Coarse Loss: 13.2538, Fine Loss: 3.7543
Epoch [3/200], Batch [201/500], Coarse Loss: 12.7042, Fine Loss: 4.7828
Epoch [3/200], Batch [301/500], Coarse Loss: 10.4969, Fine Loss: 3.9089
Epoch [3/200], Batch [401/500], Coarse Loss: 9.7115, Fine Loss: 4.1843
Epoch [4/200], Batch [1/500], Coarse Loss: 12.9358, Fine Loss: 3.9880
Epoch [4/200], Batch [101/500], Coarse Loss: 15.9300, Fine Loss: 3.9054
Epoch [4/200], Batch [201/500], Coarse Loss: 17.8513, Fine Loss: 4.6048
Epoch [4/200], Batch [301/500], Coarse Loss: 18.9622, Fine Loss: 4.2400
Epoch [4/200], Batch [401/500], Coarse Loss: 12.1885, Fine Loss: 5.6778
Epoch [5/200], Batch [1/500], Coarse Loss: 16.7839, Fine Loss: 4.2634
Epoch [5/200], Batch [101/500], Coarse Loss: 11.1883, Fine Loss: 2.7840
Epoch [5/200], Batch [201/500], Coarse Loss: 34.6757, Fine Loss: 9.7949
Epoch [5/200], Batch [301/500], Coarse Loss: 19.1989, Fine Loss: 4.5141
Epoch [5/200], Batch [401/500], Coarse Loss: 6.3369, Fine Loss: 2.6740
Epoch [6/200], Batch [1/500], Coarse Loss: 15.8255, Fine Loss: 2.5780
Epoch [6/200], Batch [101/500], Coarse Loss: 8.0494, Fine Loss: 2.9707
Epoch [6/200], Batch [201/500], Coarse Loss: 17.2381, Fine Loss: 2.9928
Epoch [6/200], Batch [301/500], Coarse Loss: 14.3394, Fine Loss: 2.4326
Epoch [6/200], Batch [401/500], Coarse Loss: 11.1634, Fine Loss: 4.1602
Epoch [7/200], Batch [1/500], Coarse Loss: 16.2338, Fine Loss: 3.3602
Epoch [7/200], Batch [101/500], Coarse Loss: 11.2128, Fine Loss: 2.5536
Epoch [7/200], Batch [201/500], Coarse Loss: 9.9782, Fine Loss: 2.6036
Epoch [7/200], Batch [301/500], Coarse Loss: 12.0871, Fine Loss: 4.4705
Epoch [7/200], Batch [401/500], Coarse Loss: 12.8591, Fine Loss: 2.8741
Epoch [8/200], Batch [1/500], Coarse Loss: 7.4077, Fine Loss: 1.9993
Epoch [8/200], Batch [101/500], Coarse Loss: 15.4154, Fine Loss: 2.2891
Epoch [8/200], Batch [201/500], Coarse Loss: 7.6020, Fine Loss: 2.1705
Epoch [8/200], Batch [301/500], Coarse Loss: 14.2326, Fine Loss: 2.1398
Epoch [8/200], Batch [401/500], Coarse Loss: 21.9159, Fine Loss: 2.5958
Epoch [9/200], Batch [1/500], Coarse Loss: 23.8501, Fine Loss: 3.3091
Epoch [9/200], Batch [101/500], Coarse Loss: 9.8198, Fine Loss: 2.2640
Epoch [9/200], Batch [201/500], Coarse Loss: 8.9093, Fine Loss: 2.8184
Epoch [9/200], Batch [301/500], Coarse Loss: 17.8708, Fine Loss: 1.9448
Epoch [9/200], Batch [401/500], Coarse Loss: 9.9245, Fine Loss: 2.6928
Epoch [10/200], Batch [1/500], Coarse Loss: 23.4009, Fine Loss: 2.3002
Epoch [10/200], Batch [101/500], Coarse Loss: 9.3852, Fine Loss: 1.8011
Epoch [10/200], Batch [201/500], Coarse Loss: 32.2284, Fine Loss: 10.9440
Epoch [10/200], Batch [301/500], Coarse Loss: 6.3489, Fine Loss: 2.2295
Epoch [10/200], Batch [401/500], Coarse Loss: 6.4480, Fine Loss: 1.6997
Epoch [11/200], Batch [1/500], Coarse Loss: 25.9446, Fine Loss: 2.6765
