Ground Truth ToA: 80.60552215576172, Coarse ToA: 85.60662841796875, Fine ToA: 141.463134765625
Ground Truth ToA: 134.9583740234375, Coarse ToA: 128.82345581054688, Fine ToA: 62.517208099365234
Ground Truth ToA: 133.59719848632812, Coarse ToA: 132.84286499023438, Fine ToA: 145.83641052246094
Ground Truth ToA: 123.11316680908203, Coarse ToA: 115.93925476074219, Fine ToA: 144.13839721679688
Ground Truth ToA: 113.77644348144531, Coarse ToA: 112.84500122070312, Fine ToA: 105.10742950439453
Ground Truth ToA: 89.1451644897461, Coarse ToA: 100.49726104736328, Fine ToA: 125.98753356933594
Ground Truth ToA: 130.48814392089844, Coarse ToA: 124.98387908935547, Fine ToA: 127.2171859741211
Ground Truth ToA: 72.6333999633789, Coarse ToA: 67.98357391357422, Fine ToA: 83.74458312988281
Ground Truth ToA: 86.927490234375, Coarse ToA: 89.76466369628906, Fine ToA: 88.16654968261719
Ground Truth ToA: 56.07632064819336, Coarse ToA: 58.159568786621094, Fine ToA: 143.54598999023438
Ground Truth ToA: 133.6085968017578, Coarse ToA: 135.34378051757812, Fine ToA: 136.829833984375
Ground Truth ToA: 55.109710693359375, Coarse ToA: 58.80917739868164, Fine ToA: 55.70405197143555
Ground Truth ToA: 113.18687438964844, Coarse ToA: 117.85414123535156, Fine ToA: 133.3247528076172
Ground Truth ToA: 118.62932586669922, Coarse ToA: 118.26624298095703, Fine ToA: 118.10714721679688
Ground Truth ToA: 62.365264892578125, Coarse ToA: 59.923099517822266, Fine ToA: 90.77847290039062
Ground Truth ToA: 103.42825317382812, Coarse ToA: 100.50853729248047, Fine ToA: 69.18576049804688
Ground Truth ToA: 90.93536376953125, Coarse ToA: 101.93077087402344, Fine ToA: 92.70440673828125
Ground Truth ToA: 139.93418884277344, Coarse ToA: 141.4325408935547, Fine ToA: 121.13585662841797
Ground Truth ToA: 112.09756469726562, Coarse ToA: 112.87069702148438, Fine ToA: 83.29866027832031
Ground Truth ToA: 54.87884521484375, Coarse ToA: 53.62833786010742, Fine ToA: 53.26465606689453
Ground Truth ToA: 136.63351440429688, Coarse ToA: 136.24903869628906, Fine ToA: 136.90281677246094
Ground Truth ToA: 97.18212890625, Coarse ToA: 95.60404968261719, Fine ToA: 133.69049072265625
Ground Truth ToA: 117.20684051513672, Coarse ToA: 117.48532104492188, Fine ToA: 116.6978988647461
Ground Truth ToA: 141.27781677246094, Coarse ToA: 148.4033203125, Fine ToA: 91.35960388183594
Ground Truth ToA: 94.77241516113281, Coarse ToA: 92.26377868652344, Fine ToA: 94.0526123046875
Ground Truth ToA: 143.48529052734375, Coarse ToA: 143.87002563476562, Fine ToA: 144.1350860595703
Ground Truth ToA: 92.7318344116211, Coarse ToA: 94.56881713867188, Fine ToA: 90.2228012084961
Ground Truth ToA: 122.97968292236328, Coarse ToA: 115.70215606689453, Fine ToA: 87.93763732910156
Ground Truth ToA: 115.36886596679688, Coarse ToA: 121.3926773071289, Fine ToA: 125.0644302368164
Ground Truth ToA: 143.18695068359375, Coarse ToA: 146.01107788085938, Fine ToA: 142.60580444335938
Ground Truth ToA: 94.84031677246094, Coarse ToA: 98.15095520019531, Fine ToA: 95.71825408935547
