Ground Truth ToA: 101.06251525878906, Coarse ToA: 96.30097198486328, Fine ToA: 112.64897155761719
Ground Truth ToA: 84.39901733398438, Coarse ToA: 76.59899139404297, Fine ToA: 127.37824249267578
Ground Truth ToA: 64.8409652709961, Coarse ToA: 67.34142303466797, Fine ToA: 68.90784454345703
Ground Truth ToA: 98.0139389038086, Coarse ToA: 103.11418914794922, Fine ToA: 94.95283508300781
Ground Truth ToA: 77.0167007446289, Coarse ToA: 74.59791564941406, Fine ToA: 76.40975189208984
Ground Truth ToA: 115.08673858642578, Coarse ToA: 115.62600708007812, Fine ToA: 112.00153350830078
Ground Truth ToA: 128.60606384277344, Coarse ToA: 124.73719787597656, Fine ToA: 126.57304382324219
Ground Truth ToA: 79.59022521972656, Coarse ToA: 74.7229232788086, Fine ToA: 77.41918182373047
Ground Truth ToA: 54.19842529296875, Coarse ToA: 57.47555923461914, Fine ToA: 55.910194396972656
Ground Truth ToA: 83.38567352294922, Coarse ToA: 89.96984100341797, Fine ToA: 86.91707611083984
Ground Truth ToA: 142.99440002441406, Coarse ToA: 144.69737243652344, Fine ToA: 107.51000213623047
Ground Truth ToA: 117.87122344970703, Coarse ToA: 113.6343002319336, Fine ToA: 114.51070404052734
Ground Truth ToA: 92.94072723388672, Coarse ToA: 87.96549224853516, Fine ToA: 98.2476577758789
Ground Truth ToA: 84.75360107421875, Coarse ToA: 83.05004119873047, Fine ToA: 77.16560363769531
Ground Truth ToA: 130.69923400878906, Coarse ToA: 126.29701232910156, Fine ToA: 52.038753509521484
Ground Truth ToA: 130.1413116455078, Coarse ToA: 124.36682891845703, Fine ToA: 129.66766357421875
Ground Truth ToA: 85.98746490478516, Coarse ToA: 86.90348052978516, Fine ToA: 85.56876373291016
Ground Truth ToA: 135.45480346679688, Coarse ToA: 130.58367919921875, Fine ToA: 52.1487922668457
Ground Truth ToA: 86.15106201171875, Coarse ToA: 85.85079193115234, Fine ToA: 149.84140014648438
Ground Truth ToA: 76.1801986694336, Coarse ToA: 76.68671417236328, Fine ToA: 75.29505157470703
Ground Truth ToA: 149.72702026367188, Coarse ToA: 143.02308654785156, Fine ToA: 149.07675170898438
Ground Truth ToA: 56.168277740478516, Coarse ToA: 70.97759246826172, Fine ToA: 60.6043701171875
Ground Truth ToA: 121.10974884033203, Coarse ToA: 123.11023712158203, Fine ToA: 148.39170837402344
Ground Truth ToA: 52.666873931884766, Coarse ToA: 51.55835723876953, Fine ToA: 104.92300415039062
Ground Truth ToA: 82.0160140991211, Coarse ToA: 78.22772216796875, Fine ToA: 82.19837951660156
Ground Truth ToA: 54.24488830566406, Coarse ToA: 55.32787322998047, Fine ToA: 52.9919319152832
Ground Truth ToA: 131.10800170898438, Coarse ToA: 130.84381103515625, Fine ToA: 133.147216796875
Ground Truth ToA: 84.07242584228516, Coarse ToA: 79.68758392333984, Fine ToA: 90.89969635009766
Ground Truth ToA: 68.38731384277344, Coarse ToA: 72.19523620605469, Fine ToA: 65.5080795288086
Ground Truth ToA: 96.96580505371094, Coarse ToA: 94.97315216064453, Fine ToA: 94.1735610961914
